"label","type","author","title","journal","year","volume","number","pages","note","url","document_type","source","doi","art_number","matches"
"Rosen2012286","ARTICLE","Rosen, T. and Hussain, S. and Mohammad, G. and Jackson, R. and Janecka, J.E. and Michel, S.","Reconciling sustainable development of mountain communities with large carnivore conservation: Lessons from Pakistan","Mountain Research and Development","2012","32","3","286-293","cited By 11","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866684985&doi=10.1659%2fMRD-JOURNAL-D-12-00008.1&partnerID=40&md5=9e0b078aa557acaff41bc64b3a57a843","Conference Paper","Scopus","10.1659/MRD-JOURNAL-D-12-00008.1",NA,40
"Neff201288","ARTICLE","Neff, C.","Australian Beach Safety and the Politics of Shark Attacks","Coastal Management","2012","40","1","88-106","cited By 38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860764304&doi=10.1080%2f08920753.2011.639867&partnerID=40&md5=1c4cee5a97d5d380917d2390d307428e","Article","Scopus","10.1080/08920753.2011.639867",NA,41
"Gandiwa2011445","ARTICLE","Gandiwa, E.","Preliminary assessment of illegal hunting by communities adjacent to the northern Gonarezhou National Park, Zimbabwe","Tropical Conservation Science","2011","4","4","445-467","cited By 25","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856861936&doi=10.1177%2f194008291100400407&partnerID=40&md5=3d246eeea0742c70efb4f7a1f98b8d50","Article","Scopus","10.1177/194008291100400407",NA,42
"Liu20102254","ARTICLE","Liu, J. and Ouyang, Z. and Miao, H.","Environmental attitudes of stakeholders and their perceptions regarding protected area-community conflicts: A case study in China","Journal of Environmental Management","2010","91","11","2254-2262","cited By 70","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955516041&doi=10.1016%2fj.jenvman.2010.06.007&partnerID=40&md5=0c5131cb8ae24faae4b25ddce7af1df3","Article","Scopus","10.1016/j.jenvman.2010.06.007",NA,43
"Carvalho2010610","ARTICLE","Carvalho, E.A.R. and Pezzuti, J.C.B.","Hunting of jaguars and pumas in the Tapajs-Arapiuns Extractive Reserve, Brazilian Amazonia","ORYX","2010","44","4","610-612","cited By 13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952978263&doi=10.1017%2fS003060531000075X&partnerID=40&md5=5c14e903d432e43349320e7055fb1eea","Article","Scopus","10.1017/S003060531000075X",NA,44
"Heinen2010261","ARTICLE","Heinen, J.T. and Shrivastava, R.J.","An analysis of conservation attitudes and awareness around Kaziranga National Park, Assam, India: Implications for conservation and development","Population and Environment","2010","30","6","261-274","cited By 20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-75549087275&doi=10.1007%2fs11111-009-0086-0&partnerID=40&md5=8f8101bbb3b4d0fe3ac11ff94908ed7a","Article","Scopus","10.1007/s11111-009-0086-0",NA,45
"Hsu2009214","ARTICLE","Hsu, M.J. and Kao, C.-C. and Agoramoorthy, G.","Interactions between visitors and formosan macaques (Macaca cyclopis) at Shou-Shan Nature Park, Taiwan","American Journal of Primatology","2009","71","3","214-222","cited By 38","https://www.scopus.com/inward/record.uri?eid=2-s2.0-63049120730&doi=10.1002%2fajp.20638&partnerID=40&md5=dbdf2b01855f79a67f1c8ead293041e6","Article","Scopus","10.1002/ajp.20638",NA,46
"Lagendijk2008971","ARTICLE","Lagendijk, D.D.G. and Gusset, M.","Human-carnivore coexistence on communal land bordering the greater Kruger Area, South Africa","Environmental Management","2008","42","6","971-976","cited By 36","https://www.scopus.com/inward/record.uri?eid=2-s2.0-56549091182&doi=10.1007%2fs00267-008-9204-5&partnerID=40&md5=e4227ce1fdd33a1f0a84c6d201566d30","Article","Scopus","10.1007/s00267-008-9204-5",NA,47
"Selebatso2008430","ARTICLE","Selebatso, M. and Moe, S.R. and Swenson, J.E.","Do farmers support cheetah Acinonyx jubatus conservation in Botswana despite livestock depredation?","ORYX","2008","42","3","430-436","cited By 26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-47049088340&doi=10.1017%2fS0030605308001154&partnerID=40&md5=1889e972dbf72b80905918db12e385b4","Article","Scopus","10.1017/S0030605308001154",NA,48
"Masiga2005579","ARTICLE","Masiga, W.N. and Munyua, S.J.M.","Global perspectives on animal welfare: Africa","OIE Revue Scientifique et Technique","2005","24","2","579-587","cited By 8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-27944491301&partnerID=40&md5=775681122c8288a23150592412663a2e","Article","Scopus",NA,NA,49
"Naughton.Treves20031500","ARTICLE","Naughton-Treves, L. and Grossberg, R. and Treves, A.","Paying for Tolerance: Rural Citizens' Attitudes toward Wolf Depredation and Compensation","Conservation Biology","2003","17","6","1500-1511","cited By 225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0346843116&doi=10.1111%2fj.1523-1739.2003.00060.x&partnerID=40&md5=341ca510f38b751638534baea55ebc00","Conference Paper","Scopus","10.1111/j.1523-1739.2003.00060.x",NA,50
"Heer2003709","ARTICLE","Heer, C. and Rusterholz, H.-P. and Baur, B.","Forest perception and knowledge of hikers and mountain bikers in two different areas in northwestern Switzerland","Environmental Management","2003","31","6","709-723","cited By 26","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042190354&doi=10.1007%2fs00267-003-3002-x&partnerID=40&md5=3369a6d46b59bf84648ba6e021fe0313","Article","Scopus","10.1007/s00267-003-3002-x",NA,51
"Kaltenborn199957","ARTICLE","Kaltenborn, B.P. and Bjerke, T. and Vitterso, J.","Attitudes toward large carnivores among sheep farmers, wildlife managers, and research biologists in Norway","Human Dimensions of Wildlife","1999","4","3","57-73","cited By 39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0003129158&doi=10.1080%2f10871209909359157&partnerID=40&md5=904be9c784b83183cc575dc121650bcb","Article","Scopus","10.1080/10871209909359157",NA,52
"Maguire1992426","ARTICLE","Maguire, L.A. and Servheen, C.","Integrating Biological and Sociological Concerns in Endangered Species Management: Augmentation of Grizzly Bear Populations","Conservation Biology","1992","6","3","426-434","cited By 28","https://www.scopus.com/inward/record.uri?eid=2-s2.0-0027100375&doi=10.1046%2fj.1523-1739.1992.06030426.x&partnerID=40&md5=7bad34180c5cd7d4291394f6ea77b4f9","Article","Scopus","10.1046/j.1523-1739.1992.06030426.x",NA,53
